match_id,home_team,away_team,home_goals,away_goals,match_outcome
1035037,Burnley,Manchester City,0,3,Loss
1035038,Arsenal,Nottingham Forest,2,1,Win
1035039,Bournemouth,West Ham,1,1,Draw
1035041,Everton,Fulham,0,1,Loss
1035040,Brighton,Luton,4,1,Win
1035042,Sheffield Utd,Crystal Palace,0,1,Loss
1035043,Newcastle,Aston Villa,5,1,Win
1035044,Brentford,Tottenham,2,2,Draw
1035045,Chelsea,Liverpool,1,1,Draw
1035046,Manchester United,Wolves,1,0,Win
1035053,Nottingham Forest,Sheffield Utd,2,1,Win
1035049,Fulham,Brentford,0,3,Loss
1035056,Wolves,Brighton,1,4,Loss
1035050,Liverpool,Bournemouth,3,1,Win
1035054,Tottenham,Manchester United,2,0,Win
1035052,Manchester City,Newcastle,1,0,Win
1035047,Aston Villa,Everton,4,0,Win
1035055,West Ham,Chelsea,3,1,Win
1035048,Crystal Palace,Arsenal,0,1,Loss
1035062,Chelsea,Luton,3,0,Win
1035057,Bournemouth,Tottenham,0,2,Loss
1035064,Manchester United,Nottingham Forest,3,2,Win
1035058,Arsenal,Fulham,2,2,Draw
1035063,Everton,Wolves,0,1,Loss
1035059,Brentford,Crystal Palace,1,1,Draw
1035060,Brighton,West Ham,1,3,Loss
1035061,Burnley,Aston Villa,1,3,Loss
1035066,Sheffield Utd,Manchester City,1,2,Loss
1035065,Newcastle,Liverpool,1,2,Loss
1035074,Luton,West Ham,1,2,Loss
1035076,Sheffield Utd,Everton,2,2,Draw
1035070,Burnley,Tottenham,2,5,Loss
1035071,Chelsea,Nottingham Forest,0,1,Loss
1035075,Manchester City,Fulham,5,1,Win
1035068,Brentford,Bournemouth,2,2,Draw
1035069,Brighton,Newcastle,3,1,Win
1035073,Liverpool,Aston Villa,3,0,Win
1035072,Crystal Palace,Wolves,3,2,Win
1035067,Arsenal,Manchester United,3,1,Win
1035086,Wolves,Liverpool,1,3,Loss
1035081,Manchester United,Brighton,1,3,Loss
1035080,Fulham,Luton,1,0,Win
1035084,Tottenham,Sheffield Utd,2,1,Win
1035085,West Ham,Manchester City,1,3,Loss
1035078,Aston Villa,Crystal Palace,3,1,Win
1035082,Newcastle,Brentford,1,0,Win
1035077,Bournemouth,Chelsea,0,0,Draw
1035079,Everton,Arsenal,0,1,Loss
1035083,Nottingham Forest,Burnley,1,1,Draw
1035095,Manchester City,Nottingham Forest,2,0,Win
1035092,Crystal Palace,Fulham,0,0,Draw
1035094,Luton,Wolves,1,1,Draw
1035088,Brentford,Everton,1,3,Loss
1035090,Burnley,Manchester United,0,1,Loss
1035093,Liverpool,West Ham,3,1,Win
1035087,Arsenal,Tottenham,2,2,Draw
1035091,Chelsea,Aston Villa,0,1,Loss
1035089,Brighton,Bournemouth,3,1,Win
1035096,Sheffield Utd,Newcastle,0,8,Loss
1035098,Aston Villa,Brighton,6,1,Win
1035101,Manchester United,Crystal Palace,0,1,Loss
1035102,Newcastle,Burnley,2,0,Win
1035097,Bournemouth,Arsenal,0,4,Loss
1035106,Wolves,Manchester City,2,1,Win
1035099,Everton,Luton,1,2,Loss
1035105,West Ham,Sheffield Utd,2,0,Win
1035104,Tottenham,Liverpool,2,1,Win
1035103,Nottingham Forest,Brentford,1,1,Draw
1035100,Fulham,Chelsea,0,2,Loss
1035051,Luton,Burnley,1,2,Loss
1035113,Luton,Tottenham,0,1,Loss
1035114,Manchester United,Brentford,2,1,Win
1035112,Fulham,Sheffield Utd,3,1,Win
1035109,Burnley,Chelsea,1,4,Loss
1035111,Everton,Bournemouth,3,0,Win
1035110,Crystal Palace,Nottingham Forest,0,0,Draw
1035116,Wolves,Aston Villa,1,1,Draw
1035115,West Ham,Newcastle,2,2,Draw
1035108,Brighton,Liverpool,2,2,Draw
1035107,Arsenal,Manchester City,1,0,Win
1035121,Liverpool,Everton,2,0,Win
1035123,Newcastle,Crystal Palace,4,0,Win
1035117,Bournemouth,Wolves,1,2,Loss
1035122,Manchester City,Brighton,2,1,Win
1035119,Brentford,Burnley,3,0,Win
1035124,Nottingham Forest,Luton,2,2,Draw
1035120,Chelsea,Arsenal,2,2,Draw
1035125,Sheffield Utd,Manchester United,1,2,Loss
1035118,Aston Villa,West Ham,4,1,Win
1035126,Tottenham,Fulham,2,0,Win
1035132,Crystal Palace,Tottenham,1,2,Loss
1035131,Chelsea,Brentford,0,2,Loss
1035127,Bournemouth,Burnley,2,1,Win
1035128,Arsenal,Sheffield Utd,5,0,Win
1035136,Wolves,Newcastle,2,2,Draw
1035135,West Ham,Everton,0,1,Loss
1035133,Liverpool,Nottingham Forest,3,0,Win
1035130,Brighton,Fulham,1,1,Draw
1035129,Aston Villa,Luton,3,1,Win
1035134,Manchester United,Manchester City,0,3,Loss
1035140,Fulham,Manchester United,0,1,Loss
1035138,Burnley,Crystal Palace,0,2,Loss
1035139,Everton,Brighton,1,1,Draw
1035142,Manchester City,Bournemouth,6,1,Win
1035137,Brentford,West Ham,3,2,Win
1035145,Sheffield Utd,Wolves,2,1,Win
1035143,Newcastle,Arsenal,1,0,Win
1035144,Nottingham Forest,Aston Villa,2,0,Win
1035141,Luton,Liverpool,1,1,Draw
1035146,Tottenham,Chelsea,1,4,Loss
1035156,Wolves,Tottenham,2,1,Win
1035154,Manchester United,Luton,1,0,Win
1035148,Arsenal,Burnley,3,1,Win
1035152,Crystal Palace,Everton,2,3,Loss
1035147,Bournemouth,Newcastle,2,0,Win
1035153,Liverpool,Brentford,3,0,Win
